graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_groups_expected,n_groups_observed,total_n,min_n_per_group,max_n_per_group,balanced_to_planned_n_runs,anova_F,anova_df_between,anova_df_within,anova_p_value,anova_significant_0p05,levene_statistic,levene_p_value,equal_variance_not_rejected_0p05,welch_F,welch_df_num,welch_df_denom,welch_p_value,welch_significant_0p05,eta_squared,omega_squared,omega_squared_raw
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_gamma,auc_raw,7,7,232,15,40,False,20.822862214773057,6,225,2.257364552104816e-19,True,0.8033158650789622,0.5682480030736411,True,22.020427945670573,6.0,83.76235327418324,2.1849047911539185e-15,True,0.35702744042453166,0.338913008770419,0.338913008770419
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_kappa,auc_abs_delta,7,7,232,15,40,False,82.98890459669327,6,225,2.913057090769469e-54,True,0.7698318835210369,0.5943592071352987,True,87.57859105018562,6.0,87.52298384412664,7.703596799416186e-35,True,0.6887680228688112,0.6795285434249252,0.6795285434249252
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_kappa,auc_abs_marginal_delta,7,7,232,15,40,False,139.1979789437981,6,225,7.457620645575636e-73,True,3.303787464897384,0.003894133242307062,False,180.893162763136,6.0,92.7011943752546,6.519423053703699e-49,True,0.7877734639402552,0.7813770720925878,0.7813770720925878
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_kappa,auc_raw,7,7,232,15,40,False,36.221372368190046,6,225,1.5055495066709985e-30,True,0.9683738337580489,0.44744277464311055,True,34.6735854531959,6.0,83.77781160981064,9.65461139277434e-21,True,0.49132797185717025,0.47668571027543916,0.47668571027543916
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,25.430777585193443,6,273,6.007426731605373e-24,True,2.6106873730836453,0.017757057018163446,False,26.086798408422503,6.0,120.83368177831427,9.892406989085958e-20,True,0.35852951921539383,0.3436238509312416,0.3436238509312416
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_directed_community_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,20.69483595509538,6,273,5.737829595341652e-20,True,1.5734114446868315,0.154904183893694,True,21.85241873801897,6.0,120.75409302874158,2.8266474845369736e-17,True,0.3126352026785616,0.29678104287886964,0.29678104287886964
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_directed_community_assortativity,auc_raw,7,7,280,40,40,True,1234.6690902541493,6,273,1.330717600363503e-194,True,2.3862023983399894,0.029017206789223343,False,1083.7272693736945,6.0,120.78560981005853,1.7395241837794321e-102,True,0.9644578201845455,0.9635512275476091,0.9635512275476091
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_delta,7,7,280,40,40,True,25.16518816934461,6,273,9.89311695428742e-24,True,2.5687474976003313,0.01947652411226056,False,26.234097803966183,6.0,120.85275935990974,8.181887198369148e-20,True,0.3561186041001949,0.3411627187413269,0.3411627187413269
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_marginal_delta,7,7,280,40,40,True,5.697990380081922,6,273,1.341260420781777e-05,True,3.0623434367344484,0.006457471239936128,False,12.206187793561014,6.0,119.70093857065461,1.1176153449067698e-10,True,0.11129324291405533,0.09146348189974551,0.09146348189974551
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_raw,7,7,280,40,40,True,1176.0374351768921,6,273,7.975825799530237e-192,True,2.7816142250898706,0.012148922587871362,False,1014.6606384522368,6.0,120.73323211693157,9.275042968202467e-101,True,0.9627518578721157,0.9618019890444449,0.9618019890444449
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_efficiency,auc_abs_delta,7,7,280,40,40,True,15.124774273740242,6,273,6.006300583451423e-15,True,4.471361490564282,0.00024508414827880434,False,12.907090457127094,6.0,119.94946273333396,3.24542893581726e-11,True,0.24948174166302123,0.23234807491381193,0.23234807491381193
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,weighted_efficiency,auc_abs_marginal_delta,7,7,280,40,40,True,73.83508053601074,6,273,2.542787995312951e-54,True,4.4248334470605855,0.0002734825477931545,False,63.61381136271034,6.0,120.56858122924974,4.890386367765862e-35,True,0.6187206662480959,0.6094896705776273,0.6094896705776273
