graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,mean_difference_group2_minus_group1,ci95_lower,ci95_upper,p_value_tukey_adjusted,reject_tukey_0p05
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,0.0008885011831487391,-0.011939840739899012,0.01371684310619649,0.9999935671604648,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,-0.000574285146309847,-0.013402627069357598,0.012254056776737904,0.999999523309774,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,-0.00779754108590415,-0.0206258830089519,0.005030800837143601,0.5454464745513541,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,-0.009344660866391883,-0.022173002789439636,0.003483681056655868,0.31882214610921134,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,-0.002066587417386273,-0.014894929340434024,0.010761754505661478,0.9990979094665758,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,-0.003529373746844859,-0.01635771566989261,0.009298968176202892,0.983064548101139,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,-0.010752629686439162,-0.02358097160948691,0.002075712236608589,0.16705795286654368,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,-0.012299749466926895,-0.025128091389974648,0.000528592456120856,0.06984958892358661,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p175,0.15,0.175,-0.001462786329458586,-0.014291128252506337,0.011365555593589165,0.9998778194858974,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,-0.008686042269052889,-0.02151438419210064,0.004142299653994862,0.40988979244154855,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,-0.010233162049540622,-0.023061503972588375,0.002595179873507129,0.2156639720331166,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p225,0.175,0.225,-0.007223255939594303,-0.020051597862642052,0.005605085983453448,0.6349446802856639,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,-0.008770375720082036,-0.02159871764312979,0.004057966202965715,0.39765257734059056,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,-0.001547119780487733,-0.014375461703535484,0.011281222142560018,0.9998304836070366,False
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,-0.00017743419734606676,-0.0007670875237780479,0.0004122191290859144,0.9732775693504476,False
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,9.504995820659246e-05,-0.0004946033682253887,0.0006847032846385736,0.9990946819543606,False
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,1.299620285473771e-06,-0.0005883537061465074,0.0005909529467174549,0.999999999999993,False
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,9.442901175260978e-05,-0.0004952243146793714,0.0006840823381845909,0.9991279127607897,False
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,-4.407109543288091e-05,-0.0006337244218648621,0.0005455822309991002,0.9999898879221353,False
