modularity_regime,mu_t_input,mu_w_input,run_id,replicate_id,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_lfr,auc_null,delta_auc_lfr_minus_null
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,community_assortativity,0.0080436024438348,0.0135366305760921,-0.005493028132257301
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,community_assortativity_louvain_dynamic,0.0108685863244968,0.0784683620453887,-0.0675997757208919
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,gscc_ratio,0.4339466666666666,0.3293466666666667,0.10459999999999992
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,reachability,0.5144762117822521,0.4728222222222222,0.041653989560029914
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,spectral_gamma,0.0754296793922681,5.851576192806098,-5.7761465134138295
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,spectral_kappa,0.0732038238212366,5.117959587681531,-5.0447557638602945
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,weighted_directed_community_assortativity,0.0066647483159619,0.0137572999441042,-0.0070925516281423
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,weighted_directed_community_assortativity_louvain_dynamic,0.0091996014745281,0.0890783344119117,-0.0798787329373836
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,weighted_efficiency,0.8404078885235297,1.060881018488938,-0.22047312996540824
mu_0p075,0.075,0.075,0,0,node_removal,random,random,node,yuan_out_in_strength_assortativity,0.0495482837541796,0.0290745478176346,0.020473735936544998
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,community_assortativity,0.0145481785777465,0.0132116086559109,0.0013365699218356002
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,community_assortativity_louvain_dynamic,0.0398578855291201,0.1127546697081135,-0.0728967841789934
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,gscc_ratio,0.511177777777778,0.3462222222222223,0.16495555555555563
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,reachability,0.559393139448173,0.4776487695749442,0.08174436987322886
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,spectral_gamma,,2.010082738387493,
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,spectral_kappa,,1.960148818554449,
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,weighted_directed_community_assortativity,0.0160466236821284,0.0115823969885486,0.004464226693579798
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,weighted_directed_community_assortativity_louvain_dynamic,0.0435606309112325,0.1240203518610985,-0.080459720949866
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,weighted_efficiency,0.9324711499212492,1.102701541295407,-0.17023039137415785
mu_0p075,0.075,0.075,0,0,node_removal,weighted_betweenness,weighted_betweenness,node,yuan_out_in_strength_assortativity,0.0702828212220985,0.0350452148973212,0.0352376063247773
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,community_assortativity,0.0256095430426234,0.0095832332769435,0.0160263097656799
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,community_assortativity_louvain_dynamic,0.1321426545561217,0.0750795599181446,0.057063094637977096
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,gscc_ratio,0.4480444444444445,0.3299333333333334,0.11811111111111111
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,reachability,0.5205894108873976,0.4727753914988815,0.04781401938851615
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,spectral_gamma,0.0523371359741978,6.406308099925858,-6.35397096395166
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,spectral_kappa,0.050428659675698,5.449593999519217,-5.399165339843519
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,0.0181910942817942,0.0109341969280073,0.007256897353786901
mu_0p075,0.075,0.075,0,0,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity_louvain_dynamic,0.1277911470731997,0.0839514228088727,0.04383972426432699
